title,genres,budget,language,duration,year,vote_count,score
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Lizzie McGuire Movie,1,17000000,English,94,2003,27580,5.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Second Mother,1,4000000,Portuguese,112,2015,7025,7.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Evolution,0,0,## INCONSISTENCY ## ,81,2015,47,6.4
White House Down,0,150000000,English,131,2013,164238,6.4
Celebrity,1,12000000,English,113,1998,20576,6.3
The Slaughter Rule,0,500000,English,112,2002,2004,6.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Breakfast of Champions,1,12000000,## INCONSISTENCY ## ,110,1999,28,5.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Antiviral,0,2400000,## INCONSISTENCY ## ,110,2012,112,5.7
The Longest Ride,0,34000000,English,128,2015,50041,7.1
The Internship,1,58000000,English,125,2013,159931,6.3
Harsh Times,0,2000000,## INCONSISTENCY ## ,120,2005,197,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Finding Forrester,0,43000000,## INCONSISTENCY ## ,136,2000,302,7.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Wicked Within,0,1200000,English,84,2015,742,4.6
Cinco de Mayo: La Batalla,0,10000000,## INCONSISTENCY ## ,125,2013,14,5.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Angela's Ashes,0,25,## INCONSISTENCY ## ,145,1999,59,7.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Goodfellas,0,25000000,English,146,1990,728685,8.7
A Fistful of Dollars,0,200000,Italian,99,1964,147566,8.0
Sin City: A Dame to Kill For,0,65000000,## INCONSISTENCY ## ,102,2014,1286,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Ugly Truth,1,38000000,## INCONSISTENCY ## ,96,2009,972,6.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Freedom Writers,0,21000000,English,123,2007,52533,7.5
Pollock,0,0,## INCONSISTENCY ## ,122,2000,91,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Small Time Crooks,1,0,## INCONSISTENCY ## ,94,2000,155,6.4
Dr. No,0,1100000,English,110,1962,116642,7.3
H.,0,0,## INCONSISTENCY ## ,93,2014,4,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Saw VI,0,11000000,## INCONSISTENCY ## ,90,2009,722,6.0
Coming Home,0,0,## INCONSISTENCY ## ,111,2014,49,6.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Moms' Night Out,1,5000000,## INCONSISTENCY ## ,98,2014,121,5.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Astronaut Farmer,0,13000000,English,104,2006,19707,6.3
Sardaar Ji,0,3000000,Panjabi,141,2015,745,6.6
Danny Collins,1,10000000,English,106,2015,20810,7.1
The Adventures of Ford Fairlane,1,40000000,English,104,1990,14429,6.3
The Best Little Whorehouse in Texas,1,35000000,English,114,1982,7748,5.8
The Host,0,44000000,## INCONSISTENCY ## ,125,2013,1817,6.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Triangle,0,12000000,English,99,2009,64423,6.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Hills Have Eyes 2,0,15000000,## INCONSISTENCY ## ,89,2007,351,5.2
New Nightmare,0,8000000,English,107,1994,38191,6.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Star Wars: Episode III - Revenge of the Sith,0,113000000,English,140,2005,520104,7.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Halloween III: Season of the Witch,0,2500000,English,98,1982,28589,4.6
Desire,0,1344000,## INCONSISTENCY ## ,103,2011,140,4.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
On The Downlow,0,0,## INCONSISTENCY ## ,90,2004,2,6.0
I Don't Know How She Does It,1,24000000,## INCONSISTENCY ## ,89,2011,141,5.0
The Christmas Candle,0,0,## INCONSISTENCY ## ,100,2013,8,5.8
Dirty Grandpa,1,11500000,## INCONSISTENCY ## ,102,2016,1406,5.7
Grown Ups,1,80000000,## INCONSISTENCY ## ,102,2010,1705,6.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
"4 Months, 3 Weeks and 2 Days",0,852510,## INCONSISTENCY ## ,113,2007,156,7.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Brave,1,185000000,## INCONSISTENCY ## ,93,2012,4641,6.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Ruby in Paradise,0,800000,English,114,1993,2039,7.2
54,0,13000000,English,121,1998,27675,5.8
There's Always Woodstock,1,0,## INCONSISTENCY ## ,90,2014,12,5.4
Gigli,1,54000000,English,121,2003,41620,2.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
N-Secure,0,0,## INCONSISTENCY ## ,0,2010,4,4.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
George of the Jungle,1,55000000,English,92,1997,56168,5.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
A Fine Step,0,0,## INCONSISTENCY ## ,90,2014,7,4.1
The Tempest,1,20000000,English,110,2010,6147,5.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Three Burials of Melquiades Estrada,0,15000000,## INCONSISTENCY ## ,121,2005,177,7.0
August Rush,0,30000000,English,114,2007,87331,7.5
Transporter 2,0,32000000,## INCONSISTENCY ## ,87,2005,1061,6.2
The Virgin Suicides,0,6000000,English,90,1999,116910,7.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Break-Up,1,52000000,English,106,2006,102167,5.8
When Harry Met Sally...,1,16000000,## INCONSISTENCY ## ,96,1989,950,7.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
"Ultramarines: A Warhammer 40,000 Movie",0,0,## INCONSISTENCY ## ,76,2010,27,5.2
Magic Mike XXL,1,14800000,## INCONSISTENCY ## ,115,2015,706,6.3
Battle: Los Angeles,0,70000000,## INCONSISTENCY ## ,116,2011,1448,5.5
The Indian in the Cupboard,0,45000000,English,96,1995,20688,5.9
16 Blocks,0,52000000,English,102,2006,112769,6.6
Silent Running,0,1000000,## INCONSISTENCY ## ,89,1972,177,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Tiger Orange,0,0,## INCONSISTENCY ## ,75,2014,4,6.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Claim,0,0,## INCONSISTENCY ## ,120,2000,17,5.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Ramanujan,0,0,ta,170,2014,3,5.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Wolf of Wall Street,1,100000000,English,240,2013,780588,8.2
"Girl, Interrupted",0,40000000,## INCONSISTENCY ## ,127,1999,721,7.6
The Hitchhiker's Guide to the Galaxy,1,50000000,## INCONSISTENCY ## ,109,2005,1315,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Talented Mr. Ripley,0,40000000,English,139,1999,137891,7.3
Blue Valentine,0,3500000,## INCONSISTENCY ## ,112,2010,890,6.9
All Is Lost,0,9000000,## INCONSISTENCY ## ,106,2013,671,6.6
Fear Clinic,0,1,## INCONSISTENCY ## ,95,2014,42,4.0
Bleeding Hearts,0,1200000,English,100,2015,71,4.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
xXx,0,70000000,English,132,2002,142569,5.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Street Kings,0,20000000,## INCONSISTENCY ## ,109,2008,363,6.3
Proud,0,0,## INCONSISTENCY ## ,87,2004,3,5.5
Double Jeopardy,0,70000000,## INCONSISTENCY ## ,105,1999,278,6.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Frozen,1,150000000,English,102,2013,421658,7.6
The Thing,0,15000000,English,109,1982,258078,8.2
Shine a Light,0,0,## INCONSISTENCY ## ,122,2008,44,7.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
GoodFellas,0,25000000,## INCONSISTENCY ## ,145,1990,3128,8.2
American Sniper,0,58800000,## INCONSISTENCY ## ,133,2014,4469,7.4
The Blade of Don Juan,1,0,## INCONSISTENCY ## ,98,2013,0,0.0
Firestorm,0,0,## INCONSISTENCY ## ,110,2013,43,5.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Kill Bill: Vol. 2,0,30000000,## INCONSISTENCY ## ,136,2004,3948,7.6
Billy Elliot,1,5000000,## INCONSISTENCY ## ,110,2000,750,7.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Hav Plenty,1,650000,English,84,1997,819,6.5
Martha Marcy May Marlene,0,0,## INCONSISTENCY ## ,101,2011,277,6.7
Tomorrowland,0,190000000,## INCONSISTENCY ## ,130,2015,2846,6.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Case of the Grinning Cat,0,150000,French,59,2004,352,7.4
Good Bye Lenin!,0,4800000,German,121,2003,114407,7.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Ride Along 2,1,40000000,English,102,2016,28621,5.9
Gone Girl,0,61000000,English,149,2014,569841,8.1
Quest for Fire,0,12000000,xx,100,1981,109,7.1
The Golden Child,1,25000000,English,94,1986,39798,5.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Ladies Man,1,24000000,## INCONSISTENCY ## ,84,2000,34,5.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Mr. Smith Goes to Washington,1,1500000,English,120,1939,77392,8.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Mona Lisa Smile,0,65000000,## INCONSISTENCY ## ,117,2003,393,6.5
Letters from Iwo Jima,0,19000000,Japanese,141,2006,132149,7.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Howl's Moving Castle,0,24000000,Japanese,119,2004,214091,8.2
No Reservations,1,28000000,## INCONSISTENCY ## ,104,2007,327,6.1
"Fat, Sick & Nearly Dead",0,2500000,English,97,2010,6429,7.6
Soul Plane,1,16000000,## INCONSISTENCY ## ,86,2004,108,4.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
In the Land of Women,1,10000000,English,97,2007,27689,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Headhunters,0,30300000,Norwegian,100,2011,79353,7.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Not Another Teen Movie,1,16000000,## INCONSISTENCY ## ,89,2001,431,5.5
Exotica,0,2000000,English,103,1994,14112,7.2
Black Book,0,21000000,Dutch,145,2006,59507,7.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Grave Encounters,0,1000000,## INCONSISTENCY ## ,92,2011,381,6.1
Lilo & Stitch,0,80000000,## INCONSISTENCY ## ,85,2002,1314,7.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Battle for the Planet of the Apes,0,1800000,English,96,1973,22764,5.5
Footloose,0,8200000,English,107,1984,51459,6.5
Midnight Cabaret,0,0,## INCONSISTENCY ## ,94,1990,0,0.0
Polisse,0,0,## INCONSISTENCY ## ,127,2011,285,7.9
Alpha and Omega: The Legend of the Saw Tooth Cave,1,0,## INCONSISTENCY ## ,53,2014,4,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
12 Years a Slave,0,20000000,English,134,2013,439176,8.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Whipped,1,3000000,## INCONSISTENCY ## ,82,2000,11,3.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Mutant World,0,1500000,English,82,2014,459,2.8
The Queen,0,9800000,English,94,2006,85333,7.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Middle of Nowhere,0,200000,English,97,2012,1034,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Diner,1,5000000,English,110,1982,14995,7.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Stung,1,2500000,English,87,2015,3119,5.0
My Week with Marilyn,0,6400000,## INCONSISTENCY ## ,99,2011,406,6.6
The Fast and the Furious: Tokyo Drift,0,85000000,English,104,2006,179500,6.0
"O Brother, Where Art Thou?",1,26000000,## INCONSISTENCY ## ,106,2000,1112,7.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
In the Valley of Elah,0,23000000,## INCONSISTENCY ## ,124,2007,261,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Duets,1,0,## INCONSISTENCY ## ,112,2000,34,5.5
Young Guns,0,13000000,## INCONSISTENCY ## ,107,1988,258,6.6
The Skulls,0,15000000,## INCONSISTENCY ## ,106,2000,156,5.8
All or Nothing,1,9000000,## INCONSISTENCY ## ,128,2002,33,7.0
Dodgeball: A True Underdog Story,1,20000000,English,92,2004,185338,6.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Prestige,0,40000000,English,130,2006,844052,8.5
Mad Money,1,22000000,English,104,2008,16831,5.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Eclipse,0,0,## INCONSISTENCY ## ,88,2009,15,6.1
The Taking of Pelham 1 2 3,0,100000000,English,106,2009,149998,6.4
The Chronicles of Riddick,0,105000000,## INCONSISTENCY ## ,119,2004,1570,6.3
Flags of Our Fathers,0,90000000,## INCONSISTENCY ## ,132,2006,526,6.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Lost Boys,1,8500000,## INCONSISTENCY ## ,97,1987,538,6.8
The Country Doctor,1,0,## INCONSISTENCY ## ,102,2016,63,6.0
Ronin,0,55000000,English,122,1998,145422,7.3
